id,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,image,cry
1,bulbasaur,grass,poison,45,49,49,65,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/1.ogg
2,ivysaur,grass,poison,60,62,63,80,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/2.ogg
3,venusaur,grass,poison,80,82,83,100,100,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/3.ogg
4,charmander,fire,,39,52,43,60,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/4.ogg
5,charmeleon,fire,,58,64,58,80,65,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/5.ogg
6,charizard,fire,flying,78,84,78,109,85,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/6.ogg
7,squirtle,water,,44,48,65,50,64,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/7.ogg
8,wartortle,water,,59,63,80,65,80,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/8.ogg
9,blastoise,water,,79,83,100,85,105,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/9.ogg
10,caterpie,bug,,45,30,35,20,20,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/10.ogg
11,metapod,bug,,50,20,55,25,25,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/11.ogg
12,butterfree,bug,flying,60,45,50,90,80,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/12.ogg
13,weedle,bug,poison,40,35,30,20,20,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/13.ogg
14,kakuna,bug,poison,45,25,50,25,25,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/14.ogg
15,beedrill,bug,poison,65,90,40,45,80,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/15.ogg
16,pidgey,normal,flying,40,45,40,35,35,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/16.ogg
17,pidgeotto,normal,flying,63,60,55,50,50,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/17.ogg
18,pidgeot,normal,flying,83,80,75,70,70,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/18.ogg
19,rattata,normal,,30,56,35,25,35,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/19.ogg
20,raticate,normal,,55,81,60,50,70,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/20.ogg
21,spearow,normal,flying,40,60,30,31,31,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/21.ogg
22,fearow,normal,flying,65,90,65,61,61,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/22.ogg
23,ekans,poison,,35,60,44,40,54,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/23.ogg
24,arbok,poison,,60,95,69,65,79,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/24.ogg
25,pikachu,electric,,35,55,40,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/25.ogg
26,raichu,electric,,60,90,55,90,80,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/26.ogg
27,sandshrew,ground,,50,75,85,20,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/27.ogg
28,sandslash,ground,,75,100,110,45,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/28.ogg
29,nidoran-f,poison,,55,47,52,40,40,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/29.ogg
30,nidorina,poison,,70,62,67,55,55,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/30.ogg
31,nidoqueen,poison,ground,90,92,87,75,85,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/31.ogg
32,nidoran-m,poison,,46,57,40,40,40,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/32.ogg
33,nidorino,poison,,61,72,57,55,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/33.ogg
34,nidoking,poison,ground,81,102,77,85,75,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/34.ogg
35,clefairy,fairy,,70,45,48,60,65,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/35.ogg
36,clefable,fairy,,95,70,73,95,90,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/36.ogg
37,vulpix,fire,,38,41,40,50,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/37.ogg
38,ninetales,fire,,73,76,75,81,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/38.ogg
39,jigglypuff,normal,fairy,115,45,20,45,25,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/39.ogg
40,wigglytuff,normal,fairy,140,70,45,85,50,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/40.ogg
41,zubat,poison,flying,40,45,35,30,40,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/41.ogg
